代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
605339,南侨食品,13.890,58.9,刚启动(拉升初期),18.46,69.83,-0.04,0.1765,1.6477,0.9256,0.7
002802,洪汇新材,12.040,18.0,刚启动(拉升初期),8.25,69.73,-0.0881,0.1628,1.6403,0.8468,1.0
603897,长城科技,29.750,61.4,刚启动(拉升初期),16.9,69.69,-0.3489,0.2211,1.625,0.8358,1.0
688793,倍轻松,20.050,17.0,刚启动(拉升初期),15.79,69.67,0.0431,0.2301,1.5311,0.8783,0.7
002033,丽江股份,8.970,49.3,刚启动(拉升初期),12.72,69.65,0.0263,0.0565,1.3433,0.9054,0.4
002105,信隆健康,5.790,21.1,刚启动(拉升初期),8.4,69.64,-0.0539,0.1353,1.0933,0.9147,0.0
300679,电连技术,50.300,180.8,刚启动(拉升初期),8.35,69.62,-0.0662,0.2825,1.7363,0.8662,1.0
601199,江南水务,6.400,59.9,刚启动(拉升初期),31.37,69.61,0.0986,0.1724,1.6061,0.9066,0.7
001326,联域股份,63.380,15.2,刚启动(拉升初期),12.63,69.59,0.0017,0.3746,1.3509,0.8801,0.4
002321,华英农业,1.990,42.3,刚启动(拉升初期),27.41,69.56,0.0051,0.0703,1.5362,0.8911,0.7
300192,科德教育,16.990,77.4,刚启动(拉升初期),27.76,69.55,0.4132,0.6168,1.707,0.9065,0.7
